2025-12-10T06:03:27.074642 7.87
2025-12-10T06:03:33.493440 battery_voltage: 5.88
2025-12-10T06:03:33.493940 rssi: -32.00
2025-12-10T06:03:33.497443 time_since_last_packet: 125
2025-12-10T06:03:33.623633 temperature > 80 C: 87
2025-12-10T06:03:33.624135 subsystem_status: 6
2025-12-10T06:03:33.624135 flight_mode: 1
2025-12-10T06:03:33.634652 low_power_mode: 0
2025-12-10T06:03:33.635155 status_events: 10
2025-12-10T06:03:33.635155 acceleration: 15.8700
2025-12-10T06:03:33.635155 height_pressure: 12.00
2025-12-10T06:03:33.635655 height_gnss: 21.50
2025-12-10T06:03:33.636155 lat_gnss: 6.2387452
2025-12-10T06:03:33.636657 lon_gnss: -140.9498291
2025-12-10T06:03:33.637155 battery_voltage: 7.72
2025-12-10T06:03:33.637155 rssi: -98.00
2025-12-10T06:03:33.640812 time_since_last_packet: 125
2025-12-10T06:03:33.767061 temperature > 80 C: 43
2025-12-10T06:03:33.767563 subsystem_status: 3
2025-12-10T06:03:33.767889 flight_mode: 0
2025-12-10T06:03:33.768393 low_power_mode: 0
2025-12-10T06:03:33.771897 status_events: 5
2025-12-10T06:03:33.772397 acceleration: 14.7300
2025-12-10T06:03:33.775897 height_pressure: 26.20
2025-12-10T06:03:33.776397 height_gnss: 7.60
2025-12-10T06:03:33.776898 lat_gnss: 85.2557220
2025-12-10T06:03:33.779898 lon_gnss: 53.9391746
2025-12-10T06:03:33.779898 battery_voltage: 10.36
2025-12-10T06:03:33.784405 rssi: -82.00
2025-12-10T06:03:33.784405 time_since_last_packet: 126
2025-12-10T06:03:33.910506 temperature > 80 C: 76
2025-12-10T06:03:33.911506 subsystem_status: 5
2025-12-10T06:03:33.912007 flight_mode: 0
2025-12-10T06:03:33.912514 low_power_mode: 0
2025-12-10T06:03:33.915507 status_events: 8
2025-12-10T06:03:33.916057 acceleration: 1.2000
2025-12-10T06:03:33.919474 height_pressure: 1.30
2025-12-10T06:03:33.919971 height_gnss: 10.00
2025-12-10T06:03:33.923479 lat_gnss: -9.4684629
2025-12-10T06:03:33.923981 lon_gnss: -145.6138763
2025-12-10T06:03:33.927492 battery_voltage: 5.39
2025-12-10T06:03:33.927995 rssi: -54.00
2025-12-10T06:03:33.927995 time_since_last_packet: 126
2025-12-10T06:13:36.422883 flight_mtemperature > 80 C: 83
2025-12-10T06:13:36.426881 subsystem_status: 6
2025-12-10T06:13:36.426881 flight_mode: 0
2025-12-10T06:13:36.430889 low_power_mode: 1
2025-12-10T06:13:36.430889 status_events: 5
2025-12-10T06:13:36.431390 acceleration: 0.0000
2025-12-10T06:13:36.434889 height_pressure: 24.20
2025-12-10T06:13:36.435389 height_gnss: 8.70
2025-12-10T06:13:36.438896 lat_gnss: 12.4398422
2025-12-10T06:13:36.439396 lon_gnss: -78.3275985
2025-12-10T06:13:36.442907 battery_voltage: 5.59
2025-12-10T06:13:36.442907 rssi: -41.00
2025-12-10T06:13:36.446916 time_since_last_packet: 125
2025-12-10T06:13:36.573045 temperature > 80 C: 36
2025-12-10T06:13:36.573547 subsystem_status: 6
2025-12-10T06:13:36.574046 flight_mode: 0
2025-12-10T06:13:36.574545 low_power_mode: 0
2025-12-10T06:13:36.575045 status_events: 5
2025-12-10T06:13:36.578578 acceleration: 9.5900
2025-12-10T06:13:36.579077 height_pressure: 14.40
2025-12-10T06:13:36.582079 height_gnss: 28.40
2025-12-10T06:13:36.582577 lat_gnss: 0.4517350
2025-12-10T06:13:36.586082 lon_gnss: 77.2941589
2025-12-10T06:13:36.586577 battery_voltage: 8.88
2025-12-10T06:13:36.587077 rssi: -75.00
2025-12-10T06:13:36.590585 time_since_last_packet: 126
2025-12-10T06:13:36.717149 temperature > 80 C: 43
2025-12-10T06:13:36.717149 subsystem_status: 3
2025-12-10T06:13:36.718213 flight_mode: 1
2025-12-10T06:13:36.718213 low_power_mode: 0
2025-12-10T06:13:36.718213 status_events: 1
2025-12-10T06:13:36.721716 acceleration: 14.9900
2025-12-10T06:13:36.721716 height_pressure: 17.30
2025-12-10T06:13:36.725738 height_gnss: 25.90
2025-12-10T06:13:36.726239 lat_gnss: 82.4612503
2025-12-10T06:13:36.729746 lon_gnss: -58.5463714
2025-12-10T06:13:36.730748 battery_voltage: 11.00
2025-12-10T06:13:36.733746 rssi: -53.00
2025-12-10T06:13:36.734248 time_since_last_packet: 126
2025-12-10T06:13:36.860887 temperature > 80 C: 61
2025-12-10T06:13:36.861387 subsystem_status: 7
2025-12-10T06:13:36.861387 flight_mode: 0
2025-12-10T06:13:36.861887 low_power_mode: 1
2025-12-10T06:13:36.864886 status_events: 9
2025-12-10T06:13:36.865388 acceleration: 14.5100
2025-12-10T06:13:36.869407 height_pressure: 5.70
2025-12-10T06:13:36.869903 height_gnss: 21.80
2025-12-10T06:13:36.872902 lat_gnss: -46.3130912
2025-12-10T06:13:36.873403 lon_gnss: 88.7788162
2025-12-10T06:13:36.877149 battery_voltage: 7.80
2025-12-10T06:13:36.877149 rssi: -90.00
2025-12-10T06:13:36.877149 time_since_last_packet: 126
2025-12-10T06:13:37.003949 temperature > 80 C: 61
2025-12-10T06:13:37.004448 subsystem_status: 3
2025-12-10T06:13:37.004948 flight_mode: 0
2025-12-10T06:13:37.008451 low_power_mode: 1
2025-12-10T06:13:37.008956 status_events: 10
2025-12-10T06:13:37.012455 acceleration: 13.2100
2025-12-10T06:13:37.012956 height_pressure: 22.50
2025-12-10T06:13:37.013456 height_gnss: 17.40
2025-12-10T06:13:37.016465 lat_gnss: 76.1596908
2025-12-10T06:13:37.016965 lon_gnss: 171.2260742
2025-12-10T06:13:37.020485 battery_voltage: 5.62
2025-12-10T06:13:37.020986 rssi: -68.00
2025-12-10T06:13:37.024486 time_since_last_packet: 126
2025-12-10T06:13:37.152375 temperature > 80 C: 25
2025-12-10T06:13:37.153371 subsystem_status: 6
2025-12-10T06:13:37.154875 flight_mode: 1
2025-12-10T06:13:37.155875 low_power_mode: 1
2025-12-10T06:13:37.156374 status_events: 12
2025-12-10T06:13:37.156872 acceleration: 11.0900
2025-12-10T06:13:37.157377 height_pressure: 15.10
2025-12-10T06:13:37.159886 height_gnss: 16.10
2025-12-10T06:13:37.160388 lat_gnss: 13.0844879
2025-12-10T06:13:37.163784 lon_gnss: -11.5313558
2025-12-10T06:13:37.164284 battery_voltage: 10.72
2025-12-10T06:13:37.164284 rssi: -53.00
2025-12-10T06:13:37.168081 time_since_last_packet: 126
2025-12-10T06:13:37.294492 temperature > 80 C: 87
2025-12-10T06:13:37.295493 subsystem_status: 3
2025-12-10T06:13:37.296498 flight_mode: 1
2025-12-10T06:13:37.296995 low_power_mode: 0
2025-12-10T06:13:37.299008 status_events: 2
2025-12-10T06:13:37.300009 acceleration: 1.1600
2025-12-10T06:13:37.302992 height_pressure: 13.80
2025-12-10T06:13:37.303493 height_gnss: 25.80
2025-12-10T06:13:37.303993 lat_gnss: 49.1765518
2025-12-10T06:13:37.307494 lon_gnss: 114.3580093
2025-12-10T06:13:37.308511 battery_voltage: 5.63
2025-12-10T06:13:37.312545 rssi: -33.00
2025-12-10T06:13:37.314040 time_since_last_packet: 126
2025-12-10T06:13:37.441713 temperature > 80 C: 45
2025-12-10T06:13:37.442218 subsystem_status: 7
2025-12-10T06:13:37.442718 flight_mode: 1
2025-12-10T06:13:37.442718 low_power_mode: 1
2025-12-10T06:13:37.442718 status_events: 4
2025-12-10T06:13:37.443217 acceleration: 5.0500
2025-12-10T06:13:37.446734 height_pressure: 18.20
2025-12-10T06:13:37.447236 height_gnss: 13.90
2025-12-10T06:13:37.450743 lat_gnss: 21.6938705
2025-12-10T06:13:37.450743 lon_gnss: -108.4283065
2025-12-10T06:13:37.454743 battery_voltage: 5.35
2025-12-10T06:13:37.454743 rssi: -50.00
2025-12-10T06:13:37.458249 time_since_last_packet: 126
2025-12-10T06:13:37.585031 temperature > 80 C: 42
2025-12-10T06:13:37.585531 subsystem_status: 3
2025-12-10T06:13:37.585531 flight_mode: 1
2025-12-10T06:13:37.586031 low_power_mode: 0
2025-12-10T06:13:37.586531 status_events: 14
2025-12-10T06:13:37.590037 acceleration: 0.3000
2025-12-10T06:13:37.590037 height_pressure: 13.20
2025-12-10T06:13:37.593928 height_gnss: 12.30
2025-12-10T06:13:37.594428 lat_gnss: 36.5513992
2025-12-10T06:13:37.594428 lon_gnss: 164.3262023
2025-12-10T06:13:37.605448 battery_voltage: 8.12
2025-12-10T06:13:37.605953 rssi: -79.00
2025-12-10T06:13:37.606447 time_since_last_packet: 125
2025-12-10T06:13:37.725588 temperature > 80 C: 54
2025-12-10T06:13:37.726088 subsystem_status: 6
2025-12-10T06:13:37.729100 flight_mode: 0
2025-12-10T06:13:37.729600 low_power_mode: 1
2025-12-10T06:13:37.730100 status_events: 6
2025-12-10T06:13:37.733381 acceleration: 18.7900
2025-12-10T06:13:37.733381 height_pressure: 2.60
2025-12-10T06:13:37.737382 height_gnss: 4.10
2025-12-10T06:13:37.737382 lat_gnss: -82.3013153
2025-12-10T06:13:37.741389 lon_gnss: 2.8976240
2025-12-10T06:13:37.741890 battery_voltage: 10.12
2025-12-10T06:13:37.741890 rssi: -88.00
2025-12-10T06:13:37.752920 time_since_last_packet: 125
2025-12-10T06:13:37.869580 temperature > 80 C: 80
2025-12-10T06:13:37.872582 subsystem_status: 3
2025-12-10T06:13:37.873083 flight_mode: 0
2025-12-10T06:13:37.873083 low_power_mode: 0
2025-12-10T06:13:37.876582 status_events: 10
2025-12-10T06:13:37.877082 acceleration: 15.6400
2025-12-10T06:13:37.881090 height_pressure: 17.20
2025-12-10T06:13:37.881090 height_gnss: 5.80
2025-12-10T06:13:37.884591 lat_gnss: -66.5164031
2025-12-10T06:13:37.885090 lon_gnss: -113.9844589
2025-12-10T06:13:37.889098 battery_voltage: 6.56
2025-12-10T06:13:37.889098 rssi: -40.00
2025-12-10T06:13:37.889598 time_since_last_packet: 125
2025-12-10T06:13:38.016497 temperature > 80 C: 63
2025-12-10T06:13:38.017000 subsystem_status: 7
2025-12-10T06:13:38.017000 flight_mode: 1
2025-12-10T06:13:38.020088 low_power_mode: 1
2025-12-10T06:13:38.020088 status_events: 11
2025-12-10T06:13:38.020587 acceleration: 18.2500
2025-12-10T06:13:38.030992 height_pressure: 12.30
2025-12-10T06:13:38.031496 height_gnss: 15.40
2025-12-10T06:13:38.031496 lat_gnss: -27.0866775
2025-12-10T06:13:38.031995 lon_gnss: -108.1023101
2025-12-10T06:13:38.032268 battery_voltage: 7.36
2025-12-10T06:13:38.032268 rssi: -68.00
2025-12-10T06:13:38.035995 time_since_last_packet: 125
2025-12-10T06:13:38.161399 temperature > 80 C: 61
2025-12-10T06:13:38.161902 subsystem_status: 7
2025-12-10T06:13:38.163405 flight_mode: 0
2025-12-10T06:13:38.163405 low_power_mode: 0
2025-12-10T06:13:38.163904 status_events: 11
2025-12-10T06:13:38.166906 acceleration: 18.5800
2025-12-10T06:13:38.167790 height_pressure: 8.50
2025-12-10T06:13:38.171327 height_gnss: 17.10
2025-12-10T06:13:38.171828 lat_gnss: -79.3084106
2025-12-10T06:13:38.175828 lon_gnss: -43.8158302
2025-12-10T06:13:38.175828 battery_voltage: 9.92
2025-12-10T06:13:38.175828 rssi: -70.00
2025-12-10T06:13:38.179833 time_since_last_packet: 126
