2025-12-10T05:07:09.314510 -130.1704101
2025-12-10T05:11:38.762970 height_gnss: 370.20
2025-12-10T05:11:38.766505 lat_gnss: 31.5943756
2025-12-10T05:11:38.767005 lon_gnss: 80.4442367
2025-12-10T05:11:38.770071 battery_voltage: 10.73
2025-12-10T05:11:38.770572 rssi: -43.00
2025-12-10T05:11:38.774072 time_since_last_packet: 125
2025-12-10T05:11:38.900244 temperature > 80 C: 35
2025-12-10T05:11:38.901748 subsystem_status: 6
2025-12-10T05:11:38.902244 flight_mode: 0
2025-12-10T05:11:38.902744 low_power_mode: 1
2025-12-10T05:11:38.903243 status_events: 105
2025-12-10T05:11:38.905780 acceleration: 1.5300
2025-12-10T05:11:38.906281 height_pressure: 946.70
2025-12-10T05:11:38.909496 height_gnss: 174.50
2025-12-10T05:11:38.910499 lat_gnss: -8.4078950
2025-12-10T05:11:38.913497 lon_gnss: -96.7597427
2025-12-10T05:11:38.913999 battery_voltage: 6.72
2025-12-10T05:11:38.913999 rssi: -69.00
2025-12-10T05:11:38.918019 time_since_last_packet: 126
2025-12-10T05:11:39.043764 temperature > 80 C: 46
2025-12-10T05:11:39.044272 subsystem_status: 1
2025-12-10T05:11:39.044272 flight_mode: 0
2025-12-10T05:11:39.044272 low_power_mode: 1
2025-12-10T05:11:39.048785 status_events: 203
2025-12-10T05:11:39.049279 acceleration: 12.8800
2025-12-10T05:11:39.052778 height_pressure: 194.90
2025-12-10T05:11:39.053278 height_gnss: 437.50
2025-12-10T05:11:39.053278 lat_gnss: -78.1249084
2025-12-10T05:11:39.057297 lon_gnss: 27.2248592
2025-12-10T05:11:39.057797 battery_voltage: 8.88
2025-12-10T05:11:39.061297 rssi: -49.00
2025-12-10T05:11:39.061297 time_since_last_packet: 126
2025-12-10T05:11:40.022742 temperature > 80 C: 82
2025-12-10T05:11:40.022742 subsystem_status: 3
2025-12-10T05:11:40.023242 flight_mode: 0
2025-12-10T05:11:40.023242 low_power_mode: 1
2025-12-10T05:11:40.023743 status_events: 218
2025-12-10T05:11:40.023743 acceleration: 12.2200
2025-12-10T05:11:40.023743 height_pressure: 235.70
2025-12-10T05:11:40.024243 height_gnss: 738.00
2025-12-10T05:11:40.024243 lat_gnss: -16.4985847
2025-12-10T05:11:40.024243 lon_gnss: -86.9336013
2025-12-10T05:11:40.024243 battery_voltage: 7.80
2025-12-10T05:11:40.024243 rssi: -39.00
2025-12-10T05:11:40.025245 time_since_last_packet: 126
2025-12-10T05:27:29.325683 lon_gnss: 101.8848648
2025-12-10T05:27:29.327190 battery_voltage: 8.53
2025-12-10T05:27:29.327190 rssi: -90.00
2025-12-10T05:27:29.328190 time_since_last_packet: 126
2025-12-10T05:27:29.328190 ht_gnss: 153.70
2025-12-10T05:27:29.328690 lat_gnss: 72.8860015
2025-12-10T05:27:29.328690 lon_gnss: 101.8848648
2025-12-10T05:27:29.329189 battery_voltage: 8.53
2025-12-10T05:27:29.329189 rssi: -90.00
2025-12-10T05:27:29.329689 time_since_last_packet: 126
2025-12-10T05:27:30.229163 temperature > 80 C: 27
2025-12-10T05:27:30.230136 subsystem_status: 4
2025-12-10T05:27:30.230642 flight_mode: 0
2025-12-10T05:27:30.231141 low_power_mode: 0
2025-12-10T05:27:30.234648 status_events: 40
2025-12-10T05:27:30.235657 acceleration: 14.7100
2025-12-10T05:27:30.238655 height_pressure: 299.00
2025-12-10T05:27:30.239155 height_gnss: 14.50
2025-12-10T05:27:30.242153 lat_gnss: -32.8816604
2025-12-10T05:27:30.242653 lon_gnss: -23.8437404
2025-12-10T05:27:30.246672 battery_voltage: 7.80
2025-12-10T05:27:30.247172 rssi: -53.00
2025-12-10T05:27:30.250172 time_since_last_packet: 126
2025-12-10T05:27:30.375814 temperature > 80 C: 30
2025-12-10T05:27:30.376317 subsystem_status: 6
2025-12-10T05:27:30.376819 flight_mode: 0
2025-12-10T05:27:30.377817 low_power_mode: 1
2025-12-10T05:27:30.377817 status_events: 74
2025-12-10T05:27:30.381754 acceleration: 11.8000
2025-12-10T05:27:30.382323 height_pressure: 719.50
2025-12-10T05:27:30.386104 height_gnss: 190.10
2025-12-10T05:27:30.386605 lat_gnss: 19.2046184
2025-12-10T05:27:30.390114 lon_gnss: -23.8292808
2025-12-10T05:27:30.391105 battery_voltage: 11.61
2025-12-10T05:27:30.391105 rssi: -76.00
2025-12-10T05:27:30.393604 time_since_last_packet: 126
2025-12-10T05:27:30.519298 temperature > 80 C: 38
2025-12-10T05:27:30.520304 subsystem_status: 5
2025-12-10T05:27:30.521297 flight_mode: 1
2025-12-10T05:27:30.521797 low_power_mode: 1
2025-12-10T05:27:30.525314 status_events: 43
2025-12-10T05:27:30.525813 acceleration: 4.2000
2025-12-10T05:27:30.529811 height_pressure: 557.10
2025-12-10T05:27:30.530807 height_gnss: 452.30
2025-12-10T05:27:30.532306 lat_gnss: -38.4273529
2025-12-10T05:27:30.533305 lon_gnss: 24.8835048
2025-12-10T05:27:30.533806 battery_voltage: 10.50
2025-12-10T05:27:30.537325 rssi: -83.00
2025-12-10T05:27:30.537825 time_since_last_packet: 126
2025-12-10T05:27:30.663076 temperature > 80 C: 87
2025-12-10T05:27:30.664579 subsystem_status: 5
2025-12-10T05:27:30.664579 flight_mode: 0
2025-12-10T05:27:30.665084 low_power_mode: 1
2025-12-10T05:27:30.675601 status_events: 90
2025-12-10T05:27:30.676105 acceleration: 14.5300
2025-12-10T05:27:30.676105 height_pressure: 789.70
2025-12-10T05:27:30.676609 height_gnss: 922.90
2025-12-10T05:27:30.677110 lat_gnss: -33.0802917
2025-12-10T05:27:30.677610 lon_gnss: 58.6245613
2025-12-10T05:27:30.680611 battery_voltage: 7.12
2025-12-10T05:27:30.681112 rssi: -86.00
2025-12-10T05:27:30.684615 time_since_last_packet: 125
2025-12-10T05:27:30.810353 temperature > 80 C: 21
2025-12-10T05:27:30.811353 subsystem_status: 1
2025-12-10T05:27:30.812357 flight_mode: 1
2025-12-10T05:27:30.813356 low_power_mode: 0
2025-12-10T05:27:30.813857 status_events: 233
2025-12-10T05:27:30.816384 acceleration: 12.8200
2025-12-10T05:27:30.816878 height_pressure: 771.40
2025-12-10T05:27:30.819876 height_gnss: 319.70
2025-12-10T05:27:30.820876 lat_gnss: -73.2765579
2025-12-10T05:27:30.823876 lon_gnss: 93.5233459
2025-12-10T05:27:30.823876 battery_voltage: 10.58
2025-12-10T05:27:30.823876 rssi: -76.00
2025-12-10T05:27:30.827881 time_since_last_packet: 126
2025-12-10T05:27:30.954131 temperature > 80 C: 49
2025-12-10T05:27:30.954638 subsystem_status: 4
2025-12-10T05:27:30.955171 flight_mode: 0
2025-12-10T05:27:30.955171 low_power_mode: 0
2025-12-10T05:27:30.959115 status_events: 197
2025-12-10T05:27:30.959615 acceleration: 13.1300
2025-12-10T05:27:30.963116 height_pressure: 359.10
2025-12-10T05:27:30.963616 height_gnss: 297.50
2025-12-10T05:27:30.967628 lat_gnss: 66.2059097
2025-12-10T05:27:30.968124 lon_gnss: -162.5876770
2025-12-10T05:27:30.968124 battery_voltage: 6.48
2025-12-10T05:27:30.978997 rssi: -88.00
2025-12-10T05:27:30.979502 time_since_last_packet: 126
2025-12-10T05:27:31.095052 temperature > 80 C: 59
2025-12-10T05:27:31.098552 subsystem_status: 5
2025-12-10T05:27:31.098552 flight_mode: 0
2025-12-10T05:27:31.102554 low_power_mode: 1
2025-12-10T05:27:31.103055 status_events: 18
2025-12-10T05:27:31.103055 acceleration: 3.4300
2025-12-10T05:27:31.107059 height_pressure: 153.10
2025-12-10T05:27:31.107059 height_gnss: 633.30
2025-12-10T05:27:31.110559 lat_gnss: -74.1624069
2025-12-10T05:27:31.111067 lon_gnss: 176.7766571
2025-12-10T05:27:31.114873 battery_voltage: 6.31
2025-12-10T05:27:31.115380 rssi: -78.00
2025-12-10T05:27:31.118880 time_since_last_packet: 126
2025-12-10T05:27:31.245597 temperature > 80 C: 25
2025-12-10T05:27:31.246607 subsystem_status: 4
2025-12-10T05:27:31.247606 flight_mode: 1
2025-12-10T05:27:31.248605 low_power_mode: 0
2025-12-10T05:27:31.249604 status_events: 176
2025-12-10T05:27:31.250603 acceleration: 17.1800
2025-12-10T05:27:31.251103 height_pressure: 451.50
2025-12-10T05:27:31.253600 height_gnss: 77.60
2025-12-10T05:27:31.255108 lat_gnss: 47.7196617
2025-12-10T05:27:31.258618 lon_gnss: -29.3057193
2025-12-10T05:27:31.259119 battery_voltage: 8.47
2025-12-10T05:27:31.259619 rssi: -94.00
2025-12-10T05:27:31.262618 time_since_last_packet: 126
2025-12-10T05:27:31.388449 temperature > 80 C: 23
2025-12-10T05:27:31.389454 subsystem_status: 7
2025-12-10T05:27:31.389454 flight_mode: 0
2025-12-10T05:27:31.389454 low_power_mode: 0
2025-12-10T05:27:31.393451 status_events: 85
2025-12-10T05:27:31.393451 acceleration: 13.8600
2025-12-10T05:27:31.397459 height_pressure: 33.60
2025-12-10T05:27:31.397959 height_gnss: 105.70
2025-12-10T05:27:31.401460 lat_gnss: -1.1919720
2025-12-10T05:27:31.402462 lon_gnss: -106.0416641
2025-12-10T05:27:31.405478 battery_voltage: 6.67
2025-12-10T05:27:31.405978 rssi: -64.00
2025-12-10T05:27:31.405978 time_since_last_packet: 126
2025-12-10T05:27:31.532561 temperature > 80 C: 59
2025-12-10T05:27:31.533061 subsystem_status: 0
2025-12-10T05:27:31.533061 flight_mode: 1
2025-12-10T05:27:31.537078 low_power_mode: 0
2025-12-10T05:27:31.537578 status_events: 228
2025-12-10T05:27:31.537578 acceleration: 11.2700
2025-12-10T05:27:31.549079 height_pressure: 60.30
2025-12-10T05:27:31.549079 height_gnss: 828.10
2025-12-10T05:27:31.550079 lat_gnss: 67.9928283
2025-12-10T05:27:31.550580 lon_gnss: -10.1861038
2025-12-10T05:27:31.551080 battery_voltage: 8.66
2025-12-10T05:27:31.551080 rssi: -59.00
2025-12-10T05:27:31.553079 time_since_last_packet: 126
2025-12-10T05:27:31.677906 temperature > 80 C: 33
2025-12-10T05:27:31.678414 subsystem_status: 6
2025-12-10T05:27:31.679914 flight_mode: 0
2025-12-10T05:27:31.680414 low_power_mode: 0
2025-12-10T05:27:31.680414 status_events: 14
2025-12-10T05:27:31.683914 acceleration: 19.3700
2025-12-10T05:27:31.683914 height_pressure: 530.00
2025-12-10T05:27:31.688419 height_gnss: 770.90
2025-12-10T05:27:31.688919 lat_gnss: 43.1124687
2025-12-10T05:27:31.692357 lon_gnss: 31.5218639
2025-12-10T05:27:31.692860 battery_voltage: 5.71
2025-12-10T05:27:31.692860 rssi: -62.00
2025-12-10T05:27:31.696276 time_since_last_packet: 126
2025-12-10T05:27:31.822132 temperature > 80 C: 24
2025-12-10T05:27:31.823632 subsystem_status: 7
2025-12-10T05:27:31.823632 flight_mode: 0
2025-12-10T05:27:31.824637 low_power_mode: 0
2025-12-10T05:27:31.827642 status_events: 219
2025-12-10T05:27:31.828143 acceleration: 4.3900
2025-12-10T05:27:31.831643 height_pressure: 101.60
2025-12-10T05:27:31.832143 height_gnss: 976.60
2025-12-10T05:27:31.835664 lat_gnss: -78.7062911
2025-12-10T05:27:31.837167 lon_gnss: -125.8114242
2025-12-10T05:27:31.840164 battery_voltage: 5.31
2025-12-10T05:27:31.840164 rssi: -76.00
2025-12-10T05:27:31.840664 time_since_last_packet: 126
2025-12-10T05:27:31.966397 temperature > 80 C: 26
2025-12-10T05:27:31.966900 subsystem_status: 2
2025-12-10T05:27:31.966900 flight_mode: 1
2025-12-10T05:27:31.970900 low_power_mode: 0
2025-12-10T05:27:31.971400 status_events: 225
2025-12-10T05:27:31.974910 acceleration: 3.9800
2025-12-10T05:27:31.975419 height_pressure: 52.20
2025-12-10T05:27:31.975419 height_gnss: 220.50
2025-12-10T05:27:31.979234 lat_gnss: -26.7903118
2025-12-10T05:27:31.979742 lon_gnss: -142.0630493
2025-12-10T05:27:31.983226 battery_voltage: 8.20
2025-12-10T05:27:31.983727 rssi: -68.00
2025-12-10T05:27:31.987235 time_since_last_packet: 125
2025-12-10T05:27:32.112804 temperature > 80 C: 53
2025-12-10T05:27:32.113306 subsystem_status: 3
2025-12-10T05:27:32.113806 flight_mode: 1
2025-12-10T05:27:32.114810 low_power_mode: 0
2025-12-10T05:27:32.114810 status_events: 106
2025-12-10T05:27:32.118299 acceleration: 1.7300
2025-12-10T05:27:32.118791 height_pressure: 960.60
2025-12-10T05:27:32.122565 height_gnss: 105.70
2025-12-10T05:27:32.123066 lat_gnss: 16.9001274
2025-12-10T05:27:32.126576 lon_gnss: -122.1206665
2025-12-10T05:27:32.127076 battery_voltage: 7.79
2025-12-10T05:27:32.130578 rssi: -63.00
2025-12-10T05:27:32.131078 time_since_last_packet: 125
2025-12-10T05:27:32.256667 temperature > 80 C: 75
2025-12-10T05:27:32.258202 subsystem_status: 3
2025-12-10T05:27:32.258703 flight_mode: 1
2025-12-10T05:27:32.259202 low_power_mode: 0
2025-12-10T05:27:32.262201 status_events: 136
2025-12-10T05:27:32.262701 acceleration: 19.1900
2025-12-10T05:27:32.265977 height_pressure: 673.40
2025-12-10T05:27:32.266483 height_gnss: 278.50
2025-12-10T05:27:32.270484 lat_gnss: 1.3698370
2025-12-10T05:27:32.271485 lon_gnss: 115.4489440
2025-12-10T05:27:32.273987 battery_voltage: 8.31
2025-12-10T05:27:32.275501 rssi: -50.00
2025-12-10T05:27:32.276001 time_since_last_packet: 126
2025-12-10T05:27:32.401883 temperature > 80 C: 45
2025-12-10T05:27:32.402387 subsystem_status: 6
2025-12-10T05:27:32.402387 flight_mode: 1
2025-12-10T05:27:32.405391 low_power_mode: 1
2025-12-10T05:27:32.405391 status_events: 172
2025-12-10T05:27:32.409391 acceleration: 2.9600
2025-12-10T05:27:32.409391 height_pressure: 243.50
2025-12-10T05:27:32.413391 height_gnss: 107.00
2025-12-10T05:27:32.413891 lat_gnss: -33.0809898
2025-12-10T05:27:32.413891 lon_gnss: 55.8441314
2025-12-10T05:27:32.417688 battery_voltage: 10.73
2025-12-10T05:27:32.417688 rssi: -60.00
2025-12-10T05:27:32.421689 time_since_last_packet: 126
2025-12-10T05:27:32.547719 temperature > 80 C: 33
2025-12-10T05:27:32.548218 subsystem_status: 6
2025-12-10T05:27:32.549218 flight_mode: 0
2025-12-10T05:27:32.550217 low_power_mode: 1
2025-12-10T05:27:32.550720 status_events: 86
2025-12-10T05:27:32.552718 acceleration: 9.8900
2025-12-10T05:27:32.553217 height_pressure: 917.90
2025-12-10T05:27:32.556724 height_gnss: 34.20
2025-12-10T05:27:32.557224 lat_gnss: 29.0886478
2025-12-10T05:27:32.560730 lon_gnss: 51.1897621
2025-12-10T05:27:32.561230 battery_voltage: 7.28
2025-12-10T05:27:32.564732 rssi: -71.00
2025-12-10T05:27:32.565237 time_since_last_packet: 125
2025-12-10T05:27:32.691092 temperature > 80 C: 49
2025-12-10T05:27:32.691771 subsystem_status: 7
2025-12-10T05:27:32.691771 flight_mode: 0
2025-12-10T05:27:32.692293 low_power_mode: 1
2025-12-10T05:27:32.695810 status_events: 143
2025-12-10T05:27:32.696306 acceleration: 14.9600
2025-12-10T05:27:32.700306 height_pressure: 421.40
2025-12-10T05:27:32.700306 height_gnss: 270.50
2025-12-10T05:27:32.703806 lat_gnss: 47.4659118
2025-12-10T05:27:32.703806 lon_gnss: 163.9943847
2025-12-10T05:27:32.708311 battery_voltage: 8.67
2025-12-10T05:27:32.708311 rssi: -88.00
2025-12-10T05:27:32.708812 time_since_last_packet: 126
2025-12-10T05:27:32.835352 temperature > 80 C: 51
2025-12-10T05:27:32.835859 subsystem_status: 4
2025-12-10T05:27:32.836358 flight_mode: 0
2025-12-10T05:27:32.839858 low_power_mode: 1
2025-12-10T05:27:32.840359 status_events: 123
2025-12-10T05:27:32.843860 acceleration: 16.2500
2025-12-10T05:27:32.843860 height_pressure: 177.50
2025-12-10T05:27:32.847369 height_gnss: 237.60
2025-12-10T05:27:32.848370 lat_gnss: -4.4636349
2025-12-10T05:27:32.848870 lon_gnss: 21.6931114
2025-12-10T05:27:32.851744 battery_voltage: 5.36
2025-12-10T05:27:32.851744 rssi: -41.00
2025-12-10T05:27:32.855898 time_since_last_packet: 125
2025-12-10T05:27:32.981532 temperature > 80 C: 34
2025-12-10T05:27:32.982533 subsystem_status: 7
2025-12-10T05:27:32.983533 flight_mode: 1
2025-12-10T05:27:32.984033 low_power_mode: 0
2025-12-10T05:27:32.985047 status_events: 250
2025-12-10T05:27:32.987055 acceleration: 10.6000
2025-12-10T05:27:32.988056 height_pressure: 131.30
2025-12-10T05:27:32.991057 height_gnss: 757.10
2025-12-10T05:27:32.992056 lat_gnss: 76.0390625
2025-12-10T05:27:32.995570 lon_gnss: 76.6399307
2025-12-10T05:27:32.996070 battery_voltage: 10.61
2025-12-10T05:27:32.999076 rssi: -91.00
2025-12-10T05:27:32.999575 time_since_last_packet: 126
2025-12-10T05:27:33.125891 temperature > 80 C: 28
2025-12-10T05:27:33.126391 subsystem_status: 7
2025-12-10T05:27:33.126892 flight_mode: 1
2025-12-10T05:27:33.126892 low_power_mode: 0
2025-12-10T05:27:33.130392 status_events: 70
2025-12-10T05:27:33.130392 acceleration: 5.2100
2025-12-10T05:27:33.133982 height_pressure: 473.40
2025-12-10T05:27:33.133982 height_gnss: 576.00
2025-12-10T05:27:33.138491 lat_gnss: -64.2354583
2025-12-10T05:27:33.138491 lon_gnss: 111.5102996
2025-12-10T05:27:33.142491 battery_voltage: 8.51
2025-12-10T05:27:33.142993 rssi: -77.00
2025-12-10T05:27:33.145997 time_since_last_packet: 126
2025-12-10T05:27:33.272795 temperature > 80 C: 34
2025-12-10T05:27:33.273295 subsystem_status: 2
2025-12-10T05:27:33.273795 flight_mode: 0
2025-12-10T05:27:33.273795 low_power_mode: 1
2025-12-10T05:27:33.273795 status_events: 73
2025-12-10T05:27:33.277678 acceleration: 19.4400
2025-12-10T05:27:33.278679 height_pressure: 424.60
2025-12-10T05:27:33.281678 height_gnss: 881.90
2025-12-10T05:27:33.282678 lat_gnss: 78.5468139
2025-12-10T05:27:33.285684 lon_gnss: -150.4692993
2025-12-10T05:27:33.286185 battery_voltage: 6.26
2025-12-10T05:27:33.286185 rssi: -84.00
2025-12-10T05:27:33.289684 time_since_last_packet: 126
2025-12-10T05:27:33.415521 temperature > 80 C: 80
2025-12-10T05:27:33.416024 subsystem_status: 2
2025-12-10T05:27:33.417027 flight_mode: 1
2025-12-10T05:27:33.417027 low_power_mode: 0
2025-12-10T05:27:33.417527 status_events: 93
2025-12-10T05:27:33.428048 acceleration: 18.8100
2025-12-10T05:27:33.428552 height_pressure: 260.80
2025-12-10T05:27:33.428552 height_gnss: 120.60
2025-12-10T05:27:33.429051 lat_gnss: -35.8406333
2025-12-10T05:27:33.429552 lon_gnss: -109.1015090
2025-12-10T05:27:33.429552 battery_voltage: 6.42
2025-12-10T05:27:33.433060 rssi: -44.00
2025-12-10T05:27:33.433561 time_since_last_packet: 125
2025-12-10T05:27:43.080503 rssi: -62.00
2025-12-10T05:27:43.081006 time_since_last_packet: 125
2025-12-10T05:27:43.081006 _gnss: 658.20
2025-12-10T05:27:43.081506 lat_gnss: -54.7293891
2025-12-10T05:27:43.081506 lon_gnss: -153.0291900
2025-12-10T05:27:43.082006 battery_voltage: 6.88
2025-12-10T05:27:43.082006 rssi: -62.00
2025-12-10T05:27:43.082506 time_since_last_packet: 125
2025-12-10T05:27:43.082506 _gnss: 658.20
2025-12-10T05:27:43.082506 lat_gnss: -54.7293891
2025-12-10T05:27:43.083006 lon_gnss: -153.0291900
2025-12-10T05:27:43.083006 battery_voltage: 6.88
2025-12-10T05:27:43.083006 rssi: -62.00
2025-12-10T05:27:43.083506 time_since_last_packet: 125
2025-12-10T05:27:43.985659 temperature > 80 C: 76
2025-12-10T05:27:43.986159 subsystem_status: 4
2025-12-10T05:27:43.986659 flight_mode: 1
2025-12-10T05:27:43.989659 low_power_mode: 1
2025-12-10T05:27:43.990159 status_events: 186
2025-12-10T05:27:43.993661 acceleration: 7.2800
2025-12-10T05:27:43.994159 height_pressure: 579.80
2025-12-10T05:27:43.997666 height_gnss: 805.60
2025-12-10T05:27:43.998166 lat_gnss: -18.8544330
2025-12-10T05:27:44.001612 lon_gnss: 61.9183387
2025-12-10T05:27:44.002114 battery_voltage: 8.19
2025-12-10T05:27:44.002114 rssi: -36.00
2025-12-10T05:27:44.005621 time_since_last_packet: 126
2025-12-10T05:27:44.131667 temperature > 80 C: 44
2025-12-10T05:27:44.132667 subsystem_status: 3
2025-12-10T05:27:44.132667 flight_mode: 1
2025-12-10T05:27:44.133675 low_power_mode: 0
2025-12-10T05:27:44.134170 status_events: 193
2025-12-10T05:27:44.144903 acceleration: 1.1900
2025-12-10T05:27:44.145405 height_pressure: 547.90
2025-12-10T05:27:44.145405 height_gnss: 108.10
2025-12-10T05:27:44.145906 lat_gnss: -34.3814315
2025-12-10T05:27:44.146405 lon_gnss: -120.0399017
2025-12-10T05:27:44.146405 battery_voltage: 10.78
2025-12-10T05:27:44.148906 rssi: -68.00
2025-12-10T05:27:44.149407 time_since_last_packet: 126
2025-12-10T05:27:44.275646 temperature > 80 C: 31
2025-12-10T05:27:44.276148 subsystem_status: 4
2025-12-10T05:27:44.276645 flight_mode: 0
2025-12-10T05:27:44.276645 low_power_mode: 1
2025-12-10T05:27:44.287165 status_events: 97
2025-12-10T05:27:44.287669 acceleration: 13.2000
2025-12-10T05:27:44.288168 height_pressure: 286.10
2025-12-10T05:27:44.288168 height_gnss: 939.20
2025-12-10T05:27:44.288669 lat_gnss: -70.7789230
2025-12-10T05:27:44.289169 lon_gnss: -55.9403610
2025-12-10T05:27:44.292669 battery_voltage: 9.68
2025-12-10T05:27:44.292669 rssi: -95.00
2025-12-10T05:27:44.296184 time_since_last_packet: 126
2025-12-10T05:27:44.423009 temperature > 80 C: 50
2025-12-10T05:27:44.423509 subsystem_status: 0
2025-12-10T05:27:44.424009 flight_mode: 1
2025-12-10T05:27:44.424509 low_power_mode: 1
2025-12-10T05:27:44.424509 status_events: 216
2025-12-10T05:27:44.428012 acceleration: 16.1300
2025-12-10T05:27:44.429012 height_pressure: 11.20
2025-12-10T05:27:44.432008 height_gnss: 123.70
2025-12-10T05:27:44.432510 lat_gnss: 21.2764644
2025-12-10T05:27:44.436021 lon_gnss: -136.8613739
2025-12-10T05:27:44.436522 battery_voltage: 8.70
2025-12-10T05:27:44.437032 rssi: -84.00
2025-12-10T05:27:44.440025 time_since_last_packet: 125
2025-12-10T05:27:44.566913 temperature > 80 C: 33
2025-12-10T05:27:44.568414 subsystem_status: 3
2025-12-10T05:27:44.568914 flight_mode: 1
2025-12-10T05:27:44.569414 low_power_mode: 1
2025-12-10T05:27:44.571433 status_events: 48
2025-12-10T05:27:44.572436 acceleration: 11.2500
2025-12-10T05:27:44.575433 height_pressure: 254.20
2025-12-10T05:27:44.575938 height_gnss: 951.80
2025-12-10T05:27:44.579355 lat_gnss: -79.0843811
2025-12-10T05:27:44.579935 lon_gnss: 167.7714233
2025-12-10T05:27:44.580434 battery_voltage: 11.60
2025-12-10T05:27:44.590930 rssi: -92.00
2025-12-10T05:27:44.591437 time_since_last_packet: 126
2025-12-10T05:27:44.706615 temperature > 80 C: 52
2025-12-10T05:27:44.710617 subsystem_status: 5
2025-12-10T05:27:44.710617 flight_mode: 1
2025-12-10T05:27:44.714618 low_power_mode: 1
2025-12-10T05:27:44.714618 status_events: 89
2025-12-10T05:27:44.714618 acceleration: 8.1100
2025-12-10T05:27:44.718627 height_pressure: 551.70
2025-12-10T05:27:44.719129 height_gnss: 612.60
2025-12-10T05:27:44.723128 lat_gnss: 18.1601219
2025-12-10T05:27:44.723629 lon_gnss: -69.1552276
2025-12-10T05:27:44.726650 battery_voltage: 6.58
2025-12-10T05:27:44.727149 rssi: -59.00
2025-12-10T05:27:44.730834 time_since_last_packet: 126
2025-12-10T05:27:44.858433 temperature > 80 C: 32
2025-12-10T05:27:44.859433 subsystem_status: 6
2025-12-10T05:27:44.859931 flight_mode: 1
2025-12-10T05:27:44.860432 low_power_mode: 1
2025-12-10T05:27:44.860932 status_events: 141
2025-12-10T05:27:44.862435 acceleration: 16.1500
2025-12-10T05:27:44.862936 height_pressure: 162.10
2025-12-10T05:27:44.866461 height_gnss: 111.00
2025-12-10T05:27:44.867967 lat_gnss: 75.6300964
2025-12-10T05:27:44.869462 lon_gnss: -15.9687500
2025-12-10T05:27:44.870467 battery_voltage: 6.59
2025-12-10T05:27:44.870973 rssi: -84.00
2025-12-10T05:27:44.873970 time_since_last_packet: 126
2025-12-10T05:27:44.999857 temperature > 80 C: 72
2025-12-10T05:27:45.001358 subsystem_status: 5
2025-12-10T05:27:45.001860 flight_mode: 1
2025-12-10T05:27:45.002362 low_power_mode: 0
2025-12-10T05:27:45.005369 status_events: 120
2025-12-10T05:27:45.005878 acceleration: 14.3600
2025-12-10T05:27:45.009377 height_pressure: 499.20
2025-12-10T05:27:45.009877 height_gnss: 454.80
2025-12-10T05:27:45.013535 lat_gnss: 29.6407260
2025-12-10T05:27:45.014040 lon_gnss: 165.2038421
2025-12-10T05:27:45.017610 battery_voltage: 5.85
2025-12-10T05:27:45.018111 rssi: -61.00
2025-12-10T05:27:45.018611 time_since_last_packet: 126
2025-12-10T05:27:45.144351 temperature > 80 C: 85
2025-12-10T05:27:45.144351 subsystem_status: 5
2025-12-10T05:27:45.145365 flight_mode: 1
2025-12-10T05:27:45.148869 low_power_mode: 1
2025-12-10T05:27:45.148869 status_events: 211
2025-12-10T05:27:45.149369 acceleration: 1.2600
2025-12-10T05:27:45.159880 height_pressure: 607.00
2025-12-10T05:27:45.160384 height_gnss: 643.90
2025-12-10T05:27:45.160884 lat_gnss: -74.4083404
2025-12-10T05:27:45.160884 lon_gnss: 38.9656753
2025-12-10T05:27:45.161384 battery_voltage: 8.24
2025-12-10T05:27:45.161384 rssi: -70.00
2025-12-10T05:27:45.164714 time_since_last_packet: 125
2025-12-10T05:27:45.290618 temperature > 80 C: 65
2025-12-10T05:27:45.290618 subsystem_status: 5
2025-12-10T05:27:45.292117 flight_mode: 0
2025-12-10T05:27:45.292117 low_power_mode: 1
2025-12-10T05:27:45.292618 status_events: 57
2025-12-10T05:27:45.296137 acceleration: 2.8500
2025-12-10T05:27:45.296637 height_pressure: 571.80
2025-12-10T05:27:45.300636 height_gnss: 304.60
2025-12-10T05:27:45.301137 lat_gnss: 0.8563710
2025-12-10T05:27:45.304386 lon_gnss: 136.2621612
2025-12-10T05:27:45.304386 battery_voltage: 6.82
2025-12-10T05:27:45.304386 rssi: -74.00
2025-12-10T05:27:45.308830 time_since_last_packet: 126
2025-12-10T05:27:45.435307 temperature > 80 C: 55
2025-12-10T05:27:45.435808 subsystem_status: 5
2025-12-10T05:27:45.436317 flight_mode: 1
2025-12-10T05:27:45.437335 low_power_mode: 1
2025-12-10T05:27:45.439818 status_events: 58
2025-12-10T05:27:45.440320 acceleration: 17.4300
2025-12-10T05:27:45.443641 height_pressure: 422.40
2025-12-10T05:27:45.443641 height_gnss: 704.60
2025-12-10T05:27:45.447658 lat_gnss: -80.0064239
2025-12-10T05:27:45.448158 lon_gnss: -142.3607025
2025-12-10T05:27:45.451658 battery_voltage: 5.66
2025-12-10T05:27:45.452158 rssi: -34.00
2025-12-10T05:27:45.452657 time_since_last_packet: 126
2025-12-10T05:27:45.578259 temperature > 80 C: 86
2025-12-10T05:27:45.588766 subsystem_status: 6
2025-12-10T05:27:45.589269 flight_mode: 1
2025-12-10T05:27:45.589269 low_power_mode: 1
2025-12-10T05:27:45.589769 status_events: 0
2025-12-10T05:27:45.589769 acceleration: 4.9000
2025-12-10T05:27:45.590269 height_pressure: 911.70
